,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
255,BUR,Burford Capital Limited,3.10B,1.14%,680106,1.28B
256,NMIH,"NMI Holdings, Inc.",3.09B,0.70%,426171,635.85M
257,FHI,"Federated Hermes, Inc.",3.07B,-0.78%,954754,1.63B
258,BKU,"BankUnited, Inc.",3.05B,0.54%,535408,958.35M
259,BFH,"Bread Financial Holdings, Inc.",3.04B,2.84%,841716,2.44B
260,BOH,Bank of Hawaii Corporation,3.00B,0.44%,228610,627.96M
261,TBBK,"The Bancorp, Inc.",2.99B,0.66%,264642,495.38M
262,ENVA,"Enova International, Inc.",2.96B,1.59%,416373,1.24B
263,INDB,Independent Bank Corp.,2.93B,1.31%,148973,653.49M
264,CVBF,CVB Financial Corp.,2.92B,0.38%,445895,504.82M
265,SFNC,Simmons First National Corporation,2.91B,0.83%,324497,701.26M
266,CLSK,"CleanSpark, Inc.",2.90B,-4.89%,14257208,378.97M
267,PLMR,"Palomar Holdings, Inc.",2.89B,2.46%,94267,503.50M
268,MCY,Mercury General Corporation,2.80B,2.37%,523041,5.47B
269,BANC,"Banc of California, Inc.",2.78B,2.48%,1582377,960.39M
270,PRK,Park National Corporation,2.77B,0.75%,38272,506.06M
271,FFBC,First Financial Bancorp.,2.75B,1.98%,378511,787.92M
272,TOWN,TowneBank,2.73B,1.38%,160047,694.30M
273,MRX,Marex Group plc,2.62B,1.67%,418611,1.54B
274,FRME,First Merchants Corporation,2.59B,0.81%,241370,610.99M
275,GCMG,GCM Grosvenor Inc.,2.57B,0.56%,381453,462.59M
276,PPBI,"Pacific Premier Bancorp, Inc.",2.54B,0.76%,566407,615.00M
277,RNST,Renasant Corporation,2.50B,1.21%,304594,706.53M
278,LMND,"Lemonade, Inc.",2.50B,2.88%,730764,492.50M
279,FBK,FB Financial Corporation,2.50B,0.92%,72507,443.57M
280,PFS,"Provident Financial Services, Inc.",2.49B,1.33%,472685,607.16M
281,WAFD,"WaFd, Inc.",2.49B,0.53%,344773,708.75M
282,SBCF,Seacoast Banking Corporation of Florida,2.47B,2.07%,442443,499.14M
283,BANR,Banner Corporation,2.46B,0.78%,142419,601.02M
284,IREN,IREN Limited,2.37B,3.65%,15354547,208.75M
285,WSBC,"WesBanco, Inc.",2.35B,-0.09%,509079,586.99M
286,TRMK,Trustmark Corporation,2.34B,1.48%,174698,532.32M
287,SPNT,SiriusPoint Ltd.,2.33B,2.20%,285894,2.61B
288,INTR,"Inter & Co, Inc.",2.32B,0.76%,1924031,767.73M
289,PWP,Perella Weinberg Partners,2.30B,1.01%,569766,864.77M
290,NBTB,NBT Bancorp Inc.,2.28B,0.96%,122157,557.34M
291,EFSC,Enterprise Financial Services Corp,2.27B,1.22%,151943,607.34M
292,SYBT,"Stock Yards Bancorp, Inc.",2.26B,2.57%,69245,342.55M
293,AGM,Federal Agricultural Mortgage Corporation,2.16B,0.90%,14833,347.66M
294,AGM.A,Federal Agricultural Mortgage Corporation,2.11B,-,-,347.66M
295,HTH,Hilltop Holdings Inc.,2.10B,4.10%,311317,1.19B
296,TSLX,"Sixth Street Specialty Lending, Inc.",2.09B,-0.31%,290107,478.36M
297,FINV,FinVolution Group,2.03B,1.17%,820187,1.84B
298,LU,Lufax Holding Ltd,2.02B,-4.12%,2516657,4.67B
299,CIFR,Cipher Mining Inc.,2.00B,-1.72%,8719965,152.47M
300,TRUP,"Trupanion, Inc.",1.99B,-0.61%,357175,1.24B
301,OFG,OFG Bancorp,1.98B,0.44%,196227,629.44M
302,MBIN,Merchants Bancorp,1.96B,2.12%,218041,646.45M
303,CASH,"Pathward Financial, Inc.",1.96B,1.93%,162523,719.62M
304,HUT,Hut 8 Corp.,1.95B,-3.48%,3000862,194.02M
305,WULF,TeraWulf Inc.,1.94B,-2.12%,32161387,128.35M
306,SKWD,"Skyward Specialty Insurance Group, Inc.",1.92B,2.48%,334699,1.09B
307,HG,"Hamilton Insurance Group, Ltd.",1.90B,1.19%,260072,2.27B
308,FBNC,First Bancorp,1.88B,1.86%,141711,333.72M
309,FIHL,Fidelis Insurance Holdings Limited,1.86B,2.52%,294920,2.30B
310,PSEC,Prospect Capital Corporation,1.85B,0.24%,2278394,821.73M
311,STC,Stewart Information Services Corporation,1.82B,1.72%,131085,2.49B
312,PAX,Patria Investments Limited,1.82B,0.26%,445921,328.72M
313,TFIN,"Triumph Financial, Inc.",1.82B,0.95%,104968,397.10M
314,CUBI,"Customers Bancorp, Inc.",1.81B,0.63%,143202,641.39M
315,NIC,"Nicolet Bankshares, Inc.",1.79B,0.54%,38006,346.48M
316,BBUC,Brookfield Business Corporation,1.78B,3.04%,50690,8.21B
317,CHCO,City Holding Company,1.76B,0.34%,30212,291.75M
318,LKFN,Lakeland Financial Corporation,1.74B,1.79%,100007,236.77M
319,FCF,First Commonwealth Financial Corporation,1.73B,0.71%,294770,448.50M
320,TWFG,"TWFG, Inc.",1.72B,0.88%,50793,194.21M
321,NTB,The Bank of N.T. Butterfield & Son Limited,1.69B,1.56%,105083,573.10M
322,NWBI,"Northwest Bancshares, Inc.",1.69B,0.46%,447926,498.08M
323,PX,"P10, Inc.",1.67B,3.54%,1057278,274.50M
324,NBHC,National Bank Holdings Corporation,1.65B,0.53%,105522,399.86M
325,CLBK,"Columbia Financial, Inc.",1.63B,3.25%,101296,165.43M
326,ROOT,"Root, Inc.",1.62B,3.22%,235471,1.04B
327,LOB,"Live Oak Bancshares, Inc.",1.60B,-0.28%,196474,402.94M
328,SRCE,1st Source Corporation,1.59B,0.68%,63350,374.66M
329,HMN,Horace Mann Educators Corporation,1.58B,1.92%,270673,1.59B
330,STEL,"Stellar Bancorp, Inc.",1.58B,2.25%,127139,433.92M
331,SUPV,Grupo Supervielle S.A.,1.56B,-3.48%,791974,435.66M
332,STBA,"S&T Bancorp, Inc.",1.56B,0.84%,122916,383.76M
333,SASR,"Sandy Spring Bancorp, Inc.",1.55B,0.29%,223896,392.25M
334,GSBD,"Goldman Sachs BDC, Inc.",1.52B,0.54%,619198,445.94M
335,VBTX,"Veritex Holdings, Inc.",1.51B,3.05%,432299,405.54M
336,LC,LendingClub Corporation,1.51B,0.91%,1280303,1.16B
337,TCBK,TriCo Bancshares,1.48B,1.43%,80118,389.19M
338,DCOM,"Dime Community Bancshares, Inc.",1.45B,3.56%,280454,277.99M
339,HOPE,"Hope Bancorp, Inc.",1.43B,1.20%,524609,457.65M
340,NAVI,Navient Corporation,1.42B,-0.15%,495675,848.00M
341,BUSE,First Busey Corporation,1.41B,2.14%,463501,453.70M
342,BHLB,"Berkshire Hills Bancorp, Inc.",1.40B,0.57%,285485,376.00M
343,BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",1.39B,0.35%,54239,279.78M
344,WABC,Westamerica Bancorporation,1.37B,0.14%,65102,293.25M
345,WT,"WisdomTree, Inc.",1.37B,-0.92%,1022334,427.74M
346,VRTS,"Virtus Investment Partners, Inc.",1.37B,0.16%,24989,906.95M
347,SEZL,Sezzle Inc.,1.36B,0.43%,52066,221.81M
348,CET,Central Securities Corporation,1.35B,-0.19%,13119,23.37M
349,OPFI,OppFi Inc.,1.34B,3.80%,2035009,260.66M
350,CCB,Coastal Financial Corporation,1.33B,2.49%,48646,284.12M
351,QCRH,"QCR Holdings, Inc.",1.33B,1.67%,53516,330.22M
352,TIGR,UP Fintech Holding Limited,1.32B,-2.08%,2608627,277.35M
353,BY,"Byline Bancorp, Inc.",1.32B,1.36%,87295,379.86M
354,MFIC,MidCap Financial Investment Corporation,1.31B,0.21%,324651,291.58M
355,LX,LexinFintech Holdings Ltd.,1.31B,-0.87%,1516633,2.00B
356,HCI,"HCI Group, Inc.",1.30B,1.06%,71456,750.85M
357,RBCAA,"Republic Bancorp, Inc.",1.30B,0.56%,18663,330.43M
358,OCSL,Oaktree Specialty Lending Corporation,1.30B,1.74%,943272,370.33M
359,NMFC,New Mountain Finance Corporation,1.26B,0.26%,367289,373.51M
360,OBK,"Origin Bancorp, Inc.",1.23B,1.18%,190038,348.30M
361,EIG,"Employers Holdings, Inc.",1.23B,0.53%,49870,889.80M
362,FBMS,"The First Bancshares, Inc.",1.22B,1.17%,97918,280.24M
363,GABC,"German American Bancorp, Inc.",1.22B,-0.41%,163520,250.48M
364,PFBC,Preferred Bank,1.21B,-0.21%,79939,274.09M
365,ECPG,"Encore Capital Group, Inc.",1.19B,2.19%,109122,1.33B
