,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
296,BTDR,Bitdeer Technologies Group,2.39B,-3.79%,5367140,395.61M
297,KLIC,"Kulicke and Soffa Industries, Inc.",2.33B,-0.02%,1168631,701.17M
298,VICR,Vicor Corporation,2.30B,3.44%,168731,355.54M
299,NATL,NCR Atleos Corporation,2.29B,1.87%,129965,4.31B
300,VNET,"VNET Group, Inc.",2.27B,12.86%,7948825,1.13B
301,CXM,"Sprinklr, Inc.",2.27B,0.22%,563743,788.06M
302,RAMP,"LiveRamp Holdings, Inc.",2.25B,0.91%,426105,728.71M
303,AVDX,"AvidXchange Holdings, Inc.",2.22B,1.69%,930283,427.57M
304,IBTA,"Ibotta, Inc.",2.20B,-0.57%,75879,368.55M
305,LSPD,Lightspeed Commerce Inc.,2.20B,0.28%,813416,1.01B
306,ACLS,"Axcelis Technologies, Inc.",2.18B,1.44%,360900,1.08B
307,PLUS,ePlus inc.,2.15B,0.90%,284371,2.13B
308,EXTR,"Extreme Networks, Inc.",2.10B,2.67%,1013756,1.02B
309,EVTC,"EVERTEC, Inc.",2.09B,0.15%,154552,823.71M
310,DFIN,"Donnelley Financial Solutions, Inc.",2.00B,2.76%,240440,802.10M
311,JAMF,Jamf Holding Corp.,1.98B,0.98%,386830,615.07M
312,RUN,Sunrun Inc.,1.96B,-2.02%,8766307,2.04B
313,GDYN,"Grid Dynamics Holdings, Inc.",1.95B,-0.26%,1089179,328.36M
314,MQ,"Marqeta, Inc.",1.94B,1.58%,3540593,490.03M
315,DAVA,Endava plc,1.94B,0.25%,149182,1.00B
316,SPT,"Sprout Social, Inc.",1.92B,-0.51%,376533,392.40M
317,SIMO,Silicon Motion Technology Corporation,1.91B,3.95%,594812,803.55M
318,VYX,NCR Voyix Corporation,1.89B,6.49%,2052059,3.59B
319,CNXN,"PC Connection, Inc.",1.89B,-1.47%,136053,2.80B
320,EVCM,EverCommerce Inc.,1.87B,0.99%,79623,693.21M
321,NABL,"N-able, Inc.",1.83B,0.82%,898641,458.05M
322,QBTS,D-Wave Quantum Inc.,1.82B,8.30%,83764463,9.42M
323,APLD,Applied Digital Corporation,1.81B,5.33%,20634798,211.62M
324,BBAI,"BigBear.ai Holdings, Inc.",1.79B,44.81%,266177211,154.97M
325,NTCT,"NetScout Systems, Inc.",1.77B,2.20%,490789,821.14M
326,UCTT,"Ultra Clean Holdings, Inc.",1.75B,4.52%,300224,1.98B
327,PD,"PagerDuty, Inc.",1.73B,1.75%,659210,457.17M
328,SONO,"Sonos, Inc.",1.73B,-1.11%,1330034,1.52B
329,CSGS,"CSG Systems International, Inc.",1.72B,2.80%,303544,1.20B
330,HIMX,"Himax Technologies, Inc.",1.71B,-5.05%,4284146,897.26M
331,MTTR,"Matterport, Inc.",1.69B,-0.19%,3915772,165.43M
332,ROG,Rogers Corporation,1.69B,1.47%,94351,842.50M
333,KN,Knowles Corporation,1.65B,1.30%,322964,801.00M
334,VRNT,Verint Systems Inc.,1.64B,1.16%,464705,920.75M
335,DBD,"Diebold Nixdorf, Incorporated",1.62B,1.08%,59948,3.80B
336,UPBD,"Upbound Group, Inc.",1.61B,1.10%,252204,4.26B
