,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
192,UROY,Uranium Royalty Corp.,328.41M,0.41%,3804537,27.48M
193,BRY,Berry Corporation,324.68M,-1.29%,382262,806.73M
194,OIS,"Oil States International, Inc.",321.24M,-0.78%,292637,736.26M
195,NGS,"Natural Gas Services Group, Inc.",319.75M,-1.88%,50100,152.31M
196,KGEI,Kolibri Global Energy Inc.,280.52M,-1.75%,103170,54.65M
197,FTK,"Flotek Industries, Inc.",257.06M,0.35%,123935,178.46M
198,REI,"Ring Energy, Inc.",251.71M,-1.55%,1223651,365.61M
199,WTI,"W&T Offshore, Inc.",228.40M,-0.64%,1394938,537.26M
200,NC,"NACCO Industries, Inc.",226.64M,-1.40%,6900,224.05M
201,FET,"Forum Energy Technologies, Inc.",213.37M,-0.34%,58544,800.61M
202,AMPY,Amplify Energy Corp.,207.70M,-1.70%,339574,304.65M
203,GTE,Gran Tierra Energy Inc.,204.21M,-0.35%,154600,629.50M
204,EP,Empire Petroleum Corporation,193.38M,-3.04%,24538,43.25M
205,SJT,San Juan Basin Royalty Trust,183.64M,3.17%,243342,11.03M
206,EPM,Evolution Petroleum Corporation,167.91M,-2.29%,199544,87.17M
207,DLNG,Dynagas LNG Partners LP,164.66M,-6.88%,158890,151.69M
208,PROP,Prairie Operating Co.,163.91M,-15.51%,1184031,1.55M
209,PHX,PHX Minerals Inc.,146.18M,-1.14%,49325,31.94M
210,MMLP,Martin Midstream Partners L.P.,145.67M,-0.68%,78964,717.40M
211,UFG,Uni-Fuels Holdings Limited,141.88M,-5.96%,5445,130.67M
212,EPSN,Epsilon Energy Ltd.,131.80M,-1.78%,40393,31.15M
213,LSE,"Leishen Energy Holding Co., Ltd.",122.68M,-3.32%,13818,83.74M
214,SLNG,"Stabilis Solutions, Inc.",116.90M,2.28%,6125,74.04M
215,BROG,Brooge Energy Limited,112.88M,1.98%,9961,73.02M
216,GEOS,Geospace Technologies Corporation,109.81M,-1.72%,91526,122.79M
217,DTI,Drilling Tools International Corporation,102.86M,-1.68%,64741,149.79M
218,AMTX,"Aemetis, Inc.",101.46M,0.25%,690437,291.40M
219,SND,"Smart Sand, Inc.",96.14M,-2.29%,184252,281.96M
220,IMPP,Imperial Petroleum Inc.,89.18M,-1.34%,250360,151.15M
221,KLXE,"KLX Energy Services Holdings, Inc.",76.55M,-1.71%,151441,738.00M
222,USEG,U.S. Energy Corp.,73.06M,-5.36%,1057052,22.26M
223,NCSM,"NCS Multistage Holdings, Inc.",73.06M,-0.98%,1165,152.80M
224,PED,PEDEVCO Corp.,69.81M,0.58%,92355,35.72M
225,VOC,VOC Energy Trust,64.09M,1.07%,24099,14.50M
226,CRT,Cross Timbers Royalty Trust,62.22M,-2.54%,16045,7.71M
227,RCON,"Recon Technology, Ltd.",60.03M,4.63%,2557,9.48M
228,PRT,PermRock Royalty Trust,51.22M,0.24%,44555,6.06M
229,PVL,Permianville Royalty Trust,46.86M,-0.35%,33148,3.14M
230,NINE,"Nine Energy Service, Inc.",46.18M,-1.80%,573057,556.75M
231,NRT,North European Oil Royalty Trust,43.29M,-2.28%,42949,5.86M
232,DWSN,Dawson Geophysical Company,42.14M,-0.73%,15817,82.78M
233,PXS,Pyxis Tankers Inc.,40.32M,-1.56%,11567,52.76M
234,VIVK,"Vivakor, Inc.",33.30M,-1.00%,34440,61.99M
235,BANL,CBL International Limited,32.45M,-0.01%,3746,521.17M
236,INDO,Indonesia Energy Corporation Limited,27.94M,-1.46%,161008,3.13M
237,TOPS,Top Ships Inc.,27.80M,-,6100,83.87M
238,BATL,Battalion Oil Corporation,26.66M,-5.81%,44795,191.48M
239,MXC,Mexco Energy Corporation,24.25M,2.95%,1800,6.93M
240,CKX,"CKX Lands, Inc.",22.68M,-0.97%,4183,2.03M
241,CGBS,Crown LNG Holdings Limited,21.86M,-2.96%,2089413,-
242,SKYQ,Sky Quarry Inc.,20.30M,-4.79%,56574,30.77M
243,BRN,"Barnwell Industries, Inc.",18.10M,-,7734,21.72M
244,HUSA,Houston American Energy Corp.,17.27M,-,333675,640.35K
245,PTLE,PTL Limited,16.75M,-6.34%,222858,108.13M
246,BPT,BP Prudhoe Bay Royalty Trust,11.98M,3.07%,121084,257.00K
247,TPET,Trio Petroleum Corp.,11.50M,-3.39%,288196,213.20K
248,MTR,Mesa Royalty Trust,11.37M,-2.56%,4819,966.17K
249,MARPS,Marine Petroleum Trust,8.00M,-0.99%,1436,1.04M
250,EONR,EON Resources Inc.,7.28M,4.15%,961922,21.71M
