,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
235,CAAP,Corporación América Airports S.A.,3.07B,0.74%,30201,1.50B
236,HAYW,"Hayward Holdings, Inc.",3.04B,-2.89%,569006,1.00B
237,ECG,"Everus Construction Group, Inc.",3.00B,-14.18%,894872,2.85B
238,TTAM,Titan America SA,3.00B,-0.70%,446172,1.64B
239,MGRC,McGrath RentCorp,2.98B,-1.39%,16161,888.78M
240,CAR,"Avis Budget Group, Inc.",2.96B,-5.99%,637536,11.79B
241,TEX,Terex Corporation,2.95B,-2.46%,240270,5.13B
242,TRN,"Trinity Industries, Inc.",2.92B,-4.62%,110077,3.25B
243,LUNR,"Intuitive Machines, Inc.",2.89B,5.79%,6016607,203.90M
244,ATS,ATS Corporation,2.86B,-0.39%,15649,1.91B
245,AZZ,AZZ Inc.,2.86B,-1.82%,45187,1.59B
246,MRCY,"Mercury Systems, Inc.",2.73B,-2.48%,84881,884.38M
247,HAFN,Hafnia Limited,2.69B,1.39%,1193371,3.04B
248,MAN,ManpowerGroup Inc.,2.61B,-1.59%,96562,17.85B
249,HUBG,"Hub Group, Inc.",2.60B,-0.80%,108164,3.95B
250,SEB,Seaboard Corporation,2.51B,-0.61%,444,8.90B
251,POWL,"Powell Industries, Inc.",2.51B,-1.04%,160226,1.06B
252,EPAC,Enerpac Tool Group Corp.,2.48B,-0.59%,1301,592.74M
253,ENOV,Enovis Corporation,2.47B,-1.07%,92902,2.00B
254,ATKR,Atkore Inc.,2.42B,-2.29%,191474,3.07B
255,AIR,AAR Corp.,2.41B,-0.77%,27988,2.57B
256,ZIM,ZIM Integrated Shipping Services Ltd.,2.41B,-3.61%,3159361,7.47B
257,HI,"Hillenbrand, Inc.",2.37B,-1.78%,123398,3.12B
258,HNI,HNI Corporation,2.33B,-1.50%,55176,2.56B
259,SXI,Standex International Corporation,2.28B,-1.63%,22453,717.74M
260,ENR,"Energizer Holdings, Inc.",2.25B,-0.57%,78556,2.90B
261,JBLU,JetBlue Airways Corporation,2.25B,1.97%,7464878,9.28B
262,ALG,Alamo Group Inc.,2.24B,-1.00%,16750,1.66B
263,MYRG,MYR Group Inc.,2.22B,-2.54%,50758,3.54B
264,ARCB,ArcBest Corporation,2.17B,-1.95%,65563,4.18B
265,ULCC,"Frontier Group Holdings, Inc.",2.15B,-1.59%,1663990,3.78B
266,WERN,"Werner Enterprises, Inc.",2.14B,-1.95%,133450,3.03B
267,ICFI,"ICF International, Inc.",2.12B,-1.73%,67288,2.00B
268,WOR,"Worthington Enterprises, Inc.",2.12B,-1.91%,61966,1.17B
269,VSEC,VSE Corporation,2.12B,-2.22%,57969,1.02B
270,HURN,Huron Consulting Group Inc.,2.11B,0.37%,2049,1.44B
271,CXW,"CoreCivic, Inc.",2.10B,5.99%,1289832,1.96B
272,ENVX,Enovix Corporation,2.09B,5.06%,2799667,20.74M
